sample	029_4870a	046_4949a	054_4976a	065_5037a	083_5091a	088_5114a	113_5241a	115_5235a	160_5453a	178_5685a	180_5521a	186_5559a	188_5571a	197_5625a	199_5632a	203_5662a	207_5670a	220_5717a	222_5735a	225_5747a	227_5749a	228_5756a	289_5851a	293_5828a	LA_RV_352_5899a_S19	LA_RV_372_5944a_S39	LA_RV_382_5978a_S49	LA_RV_389_6006a_S56	LA_RV_395_6024a_S62
CALVIN-PWY: Calvin-Benson-Bassham cycle	11176.1	10667.5	9898.57	9730.78	9446.29	9132.68	8870.19	9702.18	10022.7	9740.3	8001.68	8954.87	9324.77	10859.2	10628.4	10787.1	9411.75	9559.01	6787.14	7190.08	10009.8	8224.57	10202.9	9507.85	10272.3	9881.7	10218.9	9246.06	10283.5
CARNMET-PWY: L-carnitine degradation I	0.0	0.0	0.0	0.0	13.7123	4.98148	0.0	3.98031	0.0	0.0	233.559	33.5375	3.8386	4.66499	17.25	0.0	3.15345	0.0	503.193	224.488	13.3867	0.0	0.0	31.2315	0.0	0.0	0.0	5.55528	8.57045
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.683	8.91883	15.8333	0.0	0.0	18.0303	0.0	0.0	0.0	0.0
CENTFERM-PWY: pyruvate fermentation to butanoate	763.187	366.481	1022.35	589.689	811.071	991.306	1133.85	1304.19	982.533	723.777	1283.52	1591.42	1432.63	1167.91	1221.3	478.335	1489.94	1483.62	852.735	1511.79	638.794	765.296	1287.18	572.177	810.752	332.062	897.828	1098.57	1180.82
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	11.5848	0.0	13.6148	0.0	8.68541	82.6357	36.5815	19.64	0.0	14.5532	74.2223	43.3204	3.37252	0.0	0.0	5.78785	57.4595	0.0	0.0	0.0	19.6522	9.65536	0.0	9.19378	0.0	0.0	40.6581	30.751	15.5934
CITRULBIO-PWY: L-citrulline biosynthesis	1392.73	1588.66	979.714	4840.07	3504.57	2650.95	2002.77	1031.06	1744.43	2148.31	2134.38	1415.09	1935.11	568.662	3114.05	827.307	1450.5	877.348	2789.36	2551.27	1572.86	1856.86	3028.8	3867.94	1797.07	3824.17	575.838	1357.09	2829.35
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	9556.97	8482.37	8551.68	8162.65	8066.88	7900.11	8157.78	7702.08	8892.76	8083.45	5255.5	8166.88	6879.02	6524.42	8518.54	7877.3	7782.94	8010.05	3738.44	4484.92	7678.37	7372.49	8781.53	7884.37	8741.05	8786.78	7891.43	8185.0	8108.16
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	10146.6	7983.16	8450.28	7550.16	7604.64	7222.1	7682.91	7245.12	8774.55	7444.45	4991.27	7658.8	6363.61	5809.27	8051.18	7834.06	7443.21	7392.71	4073.08	4509.47	7537.15	6859.05	8567.25	7786.65	8428.77	8436.15	7350.02	7678.61	7488.68
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	2346.46	4089.47	2694.8	3189.4	3088.19	3780.87	2917.0	3158.93	4122.36	4114.43	2433.53	3210.03	2111.37	1944.1	4006.07	2754.34	2983.28	4756.81	2316.27	2924.13	2916.52	2836.64	3315.1	2348.82	3709.58	2176.58	2616.87	2513.71	3817.87
COLANSYN-PWY: colanic acid building blocks biosynthesis	7094.76	2630.17	4177.01	4505.46	3712.74	3150.67	3789.83	3585.95	2548.34	3701.73	2470.4	3741.87	3939.37	4228.52	3718.76	3585.21	4109.99	3567.87	3940.85	3099.35	3873.34	4791.89	3810.6	3653.4	3829.11	4587.71	4847.22	3898.81	4278.1
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	9839.59	10260.6	8135.86	8447.89	8703.38	7708.63	8899.58	8763.53	9143.02	9090.45	6504.52	8644.86	7107.0	8575.69	9584.84	10070.7	8939.56	9462.46	4659.49	5815.36	9437.29	8448.75	9073.56	7818.33	9664.21	9300.24	9017.58	8725.45	9174.6
CRNFORCAT-PWY: creatinine degradation I	21.7366	8.73037	93.7304	0.0	6.87557	81.1281	0.0	33.0578	0.0	76.3964	31.5514	125.331	182.754	188.797	0.0	0.0	111.131	0.0	9.82946	376.839	33.0455	2.69377	0.0	0.0	0.0	0.0	73.8652	20.4775	50.6666
DAPLYSINESYN-PWY: L-lysine biosynthesis I	2906.92	2851.09	3690.9	5365.09	3241.14	4376.49	3743.85	1937.84	2105.34	4424.62	4192.03	4038.47	4019.34	3470.47	3329.42	2272.86	3948.54	3927.08	3491.9	3594.63	3259.61	3363.78	3116.44	2370.6	2161.0	3499.53	3897.79	3556.49	4389.55
DARABCATK12-PWY: D-arabinose degradation I	77.3558	139.827	137.538	78.7608	163.041	384.072	157.836	191.71	0.0	343.051	587.382	313.111	701.222	291.797	344.188	62.3354	344.702	185.899	951.569	933.46	158.048	262.917	101.416	374.321	141.059	275.545	119.345	126.13	310.854
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	10.9361	12.6152	14.6334	10.2074	0.0	19.5229	0.0	0.0	0.0	15.4952	0.0	0.0	2.63118	0.0	21.8254	0.0	25.385	0.0	2.68776	39.1894	30.1695	10.3006	33.0204	20.678	0.0	15.94	93.7523	16.1602	8.08058
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0	206.735	1154.43	425.927	164.152	1099.38	263.563	2009.49	0.0	380.499	712.173	478.218	77.3961	0.0	436.685	91.7642	1773.67	0.0	878.912	2271.69	1284.82	1935.99	83.9596	357.782	164.64	176.742	361.49	387.844	113.048
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.26887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	16920.8	13420.2	9872.16	11153.0	10442.2	13284.4	12315.7	10380.5	15500.0	10529.6	5061.67	8928.48	9793.29	10716.2	12950.7	16634.3	10724.6	12592.3	5795.28	6381.17	12894.9	10322.3	11439.1	11309.2	12190.1	9819.64	9566.98	10298.0	10437.2
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.0	0.0	6.36015	0.0	16.6127	161.83	0.0	0.0	0.0	0.0	418.907	63.4675	0.0	0.0	37.6968	0.0	0.0	0.0	895.52	645.838	25.0852	0.0	0.0	24.8445	0.0	0.0	0.0	16.5431	26.3172
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.0	56.607	0.0	84.0743	73.1095	319.079	0.0	0.0	0.0	0.0	2182.0	258.045	0.0	0.0	97.9843	0.0	87.6435	0.0	5288.93	2099.27	75.4477	0.0	0.0	233.042	101.086	0.0	0.0	31.5548	72.6943
FASYN-ELONG-PWY: fatty acid elongation -- saturated	2325.68	3982.45	3507.84	3975.65	3600.61	2550.67	3276.06	2737.93	3246.87	2695.7	2293.77	2550.94	3503.6	2179.65	3192.92	2371.6	2315.29	2543.82	3341.62	3258.55	2615.29	2458.31	3302.55	5225.49	2935.68	2972.69	1781.72	2200.36	2052.5
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0	0.0	79.5456	0.0	0.0	0.0	133.418	0.0	0.0	52.4223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.328	93.1476	181.506	0.0	162.395	0.0	0.0	0.0
FERMENTATION-PWY: mixed acid fermentation	5360.81	3453.22	5592.77	6292.31	4490.33	6151.61	4975.74	4778.94	3627.27	5627.74	4487.1	6183.69	5237.22	4179.66	3545.87	5564.24	4879.64	5435.01	3835.16	4544.33	5898.43	5263.52	3815.91	3208.8	3213.04	3713.33	5198.95	4708.21	5027.8
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	61.5431	683.885	954.557	0.0	1142.46	1097.1	513.857	1799.07	624.481	715.784	1313.65	745.337	638.547	275.857	235.491	135.329	1187.12	200.751	2202.22	1935.36	867.7	851.262	527.54	219.28	409.984	330.365	579.123	493.219	696.355
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	1096.44	1838.76	749.591	286.661	1486.39	842.064	585.571	1327.47	528.134	1811.45	1823.85	1141.83	1647.61	1003.65	703.993	1592.78	1461.8	1100.1	3016.72	2497.56	686.204	1110.89	810.599	1159.68	453.389	565.091	903.8	897.514	1055.98
FUCCAT-PWY: fucose degradation	770.393	1344.43	459.032	132.284	849.665	445.671	297.577	953.015	776.554	1462.36	1867.06	700.465	1350.28	1162.99	357.916	1038.96	1059.94	944.405	2674.11	2096.27	366.608	689.984	450.76	715.04	218.855	282.446	519.252	522.402	624.95
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	338.901	634.214	831.347	1006.64	988.078	1273.3	1364.0	462.688	0.0	887.542	1679.54	855.77	517.496	263.926	679.122	771.771	700.411	609.235	1863.53	1441.6	1034.47	980.569	791.64	467.922	588.971	1048.71	411.438	513.216	782.665
GALACTARDEG-PWY: D-galactarate degradation I	30.1824	52.6379	37.5987	236.81	157.224	423.192	96.9863	244.904	0.0	89.3934	1095.7	265.074	143.469	36.1188	185.717	34.6649	299.005	0.0	3746.31	2062.17	117.064	43.4665	31.8222	170.451	103.521	33.8505	75.4857	70.1672	216.79
GALACTITOLCAT-PWY: galactitol degradation	0.0	57.4064	56.2979	57.518	48.0723	351.362	142.188	133.196	121.091	50.3806	1503.34	274.887	78.6289	95.1128	223.783	0.0	121.852	146.611	2405.78	1279.37	134.976	48.1817	0.0	398.819	133.38	146.778	144.582	69.7361	49.8173
GALACTUROCAT-PWY: D-galacturonate degradation I	2310.91	2149.6	1119.37	2081.46	2385.08	1891.19	1448.59	1829.59	2138.98	2424.04	1748.13	2034.07	1563.04	1976.33	2069.06	2381.07	1526.73	1696.29	1906.98	1751.21	2199.32	2047.3	1496.19	1012.1	1709.17	1529.4	1827.03	1042.89	1345.05
GALLATE-DEGRADATION-I-PWY: gallate degradation II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.3462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALLATE-DEGRADATION-II-PWY: gallate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	1606.46	1705.56	1931.6	3654.92	2911.25	2337.48	1828.59	3594.72	3353.79	2116.14	1795.46	1611.56	1719.99	1595.81	2771.55	897.923	1435.42	2028.87	3551.26	2371.62	2061.5	2232.69	2568.95	2437.82	3023.45	1914.96	1251.01	2378.86	2266.86
GLUCARDEG-PWY: D-glucarate degradation I	28.9736	51.9336	31.953	147.114	135.51	326.919	35.3986	193.39	0.0	76.554	960.706	232.397	75.1947	31.2811	137.891	34.3012	248.818	0.0	2980.1	1680.13	103.736	38.2701	31.7564	154.139	90.8249	20.5578	62.582	63.359	163.631
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	30.1824	52.6379	37.5987	236.81	157.224	423.192	96.9863	244.904	0.0	89.3934	1095.7	265.074	143.469	36.1188	185.717	34.6649	299.005	0.0	3746.31	2062.17	117.064	43.4665	31.8222	170.451	103.521	33.8505	75.4857	70.1672	216.79
GLUCONEO-PWY: gluconeogenesis I	7582.88	3557.11	4887.54	1993.12	4743.33	5383.78	3935.98	5704.72	4419.41	4835.17	4861.72	5362.2	7108.77	5250.42	3579.41	6776.34	5772.58	4877.59	4589.03	4968.81	6355.25	2555.13	7320.35	4550.25	3356.79	2593.97	4553.41	4546.91	3843.16
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0	3997.11	5098.56	5168.16	4263.47	3665.11	5235.73	4136.56	5712.92	4577.33	4467.96	4531.09	4375.04	3669.04	6133.5	8345.33	4705.49	5746.39	4457.92	3373.23	8463.88	6006.62	5411.81	3601.27	6321.84	6188.69	5516.74	4843.83	5980.53
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	1554.94	1881.53	908.556	1300.19	1237.01	1361.76	1291.45	1513.21	1807.59	2628.12	1621.71	1359.91	856.474	1332.9	1611.54	2372.2	1228.9	1372.73	1981.04	1787.34	1739.77	2207.63	791.561	821.87	1268.64	926.069	1483.42	828.126	1132.46
GLUDEG-I-PWY: GABA shunt	154.575	104.967	281.442	19.6713	7.07679	27.8269	112.314	134.33	0.0	186.721	298.861	214.088	366.563	220.736	0.0	155.445	358.21	0.0	402.234	476.742	238.364	43.0618	179.467	47.3259	57.6443	12.9733	148.919	73.0756	92.6196
GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate)	0.0	11.9583	52.4705	0.0	218.995	47.6431	0.0	87.6913	0.0	211.888	355.414	305.992	419.726	175.872	58.2376	0.0	281.471	0.0	19.7982	228.861	96.221	36.2438	0.0	257.2	94.6305	0.0	175.468	64.761	106.083
GLUTORN-PWY: L-ornithine biosynthesis I	6615.52	7517.95	6060.33	6195.3	6111.24	5632.77	6811.08	5856.64	5797.82	6994.55	5376.78	6458.0	4273.99	7808.85	6873.92	6830.55	6226.13	7335.24	3759.6	4224.17	6102.78	6467.28	5821.95	5328.3	7684.08	6030.35	8054.11	5629.76	7686.02
GLYCOCAT-PWY: glycogen degradation I	1633.28	4355.33	3808.19	1071.63	1344.75	3372.75	3901.04	2611.01	5460.28	1558.33	1192.3	1819.46	2486.7	999.751	2071.21	3752.81	1927.89	3754.65	1190.68	2056.19	3344.82	1966.61	1784.74	1401.46	5051.08	3491.8	2891.91	1610.14	3979.72
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	12308.1	14777.3	12567.0	10432.2	10602.3	11265.1	12083.9	11601.1	13324.7	12336.4	8143.57	11895.8	10128.2	12192.7	13119.0	10915.1	11727.9	14293.4	4889.45	6525.5	11038.2	9143.77	10827.5	10201.6	15883.6	9843.59	12433.3	9915.72	13997.8
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.0	141.216	43.1768	59.132	95.0846	243.575	0.0	14.1639	0.0	32.2134	639.501	268.854	49.6236	41.5352	174.86	16.4636	228.394	74.9559	1029.72	993.513	214.764	20.829	24.9798	307.02	99.8962	0.0	28.0573	53.0435	96.6831
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	1591.72	1394.35	1337.65	463.745	1935.27	1274.55	1662.44	1313.99	1822.22	1061.42	2846.86	1674.96	1117.73	1737.78	1181.8	1940.15	2011.44	1461.32	3343.77	2782.26	2666.46	1321.37	2296.23	1483.9	1158.12	1143.9	2109.37	500.949	1223.21
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.0	0.0	30.2599	67.5059	105.397	411.521	0.0	0.0	0.0	26.6986	549.002	346.1	0.0	0.0	122.715	0.0	0.0	0.0	2432.14	1582.52	116.256	0.0	0.0	109.457	0.0	0.0	33.9318	55.3013	130.913
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	8537.87	8588.29	7887.97	10366.3	9223.92	9150.33	9043.99	8201.7	9385.63	9067.42	6309.71	8388.2	10271.7	8331.99	9752.46	8407.62	8249.01	9014.76	5440.02	6485.99	8024.66	8682.13	9530.01	9850.53	8967.92	10052.4	7201.87	9496.94	9011.98
GLYOXYLATE-BYPASS: glyoxylate cycle	0.0	142.269	7.5673	59.1808	95.2934	257.555	0.0	9.65998	298.769	32.4463	2084.53	296.701	50.3992	43.4346	173.241	0.0	252.639	140.726	2642.18	2397.42	226.932	0.0	24.997	294.299	100.909	0.0	28.992	54.9557	98.1478
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	586.902	1155.84	623.046	88.8679	846.578	606.637	649.895	1156.49	948.533	913.842	1129.63	727.796	676.94	976.368	432.593	887.182	615.734	489.04	124.442	1413.77	397.705	691.35	574.017	570.944	622.703	348.01	343.238	632.145	303.675
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0.0	0.0	0.0	31.8136	0.0	15.563	0.0	0.0	0.0	0.0	892.786	28.8064	7.10607	0.0	0.0	0.0	45.8334	0.0	2577.01	440.941	10.2547	6.26975	0.0	56.2367	14.6479	0.0	0.0	23.7384	0.0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	19.2344	171.987	190.049	111.116	336.459	164.957	26.2428	74.2617	34.6897	112.228	1080.5	251.17	147.619	138.268	86.9742	60.1552	180.879	64.7667	2636.09	1266.27	93.6717	130.901	60.4661	206.794	98.7531	20.4484	48.5358	111.212	110.467
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	47.2374	218.592	142.442	176.152	121.16	167.704	185.525	291.773	36.9524	103.891	1080.5	166.431	174.912	85.6482	86.9742	60.8612	200.017	62.599	2636.09	1266.27	188.102	111.611	178.219	233.025	125.326	58.8166	82.5729	145.603	44.7317
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	78.658	254.901	325.91	230.412	440.884	304.846	220.414	347.149	190.909	277.598	1295.66	396.648	285.025	411.321	130.143	116.89	298.885	91.7701	2874.58	1409.18	260.54	345.332	311.942	334.337	201.721	110.819	190.905	202.786	222.229
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.0	187.643	180.363	142.251	159.324	807.203	406.105	395.604	376.459	160.827	2632.41	685.981	238.033	299.491	551.494	0.0	376.067	394.15	3274.35	2460.1	427.629	157.488	0.0	939.389	374.423	376.554	417.742	197.197	157.71
HISDEG-PWY: L-histidine degradation I	1089.57	1989.16	1805.47	5526.86	3063.13	2753.24	2407.69	1909.98	2389.11	1781.99	789.898	2159.69	4136.96	1931.57	2562.18	831.227	1747.03	2279.25	704.959	2548.53	1362.59	2472.13	2921.03	2473.39	1937.78	3862.39	1017.56	3362.38	2398.94
HISTSYN-PWY: L-histidine biosynthesis	9378.39	6807.57	6439.4	8872.77	7244.02	7689.52	7016.53	6542.35	8520.13	7965.87	5309.48	7520.55	6296.04	7901.36	7357.0	8299.5	7308.28	7732.59	3328.07	4096.99	8249.99	7213.08	7457.33	6894.98	7194.67	8829.04	8486.26	8006.02	7480.98
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	1368.8	1090.59	1635.05	2418.34	1593.01	2113.76	2083.95	1452.72	1326.55	1660.43	3480.74	1552.44	2149.53	871.909	1329.19	1319.28	1982.0	2125.23	3964.46	3343.91	1265.63	3149.33	1769.18	1306.31	940.153	3158.26	1880.36	2735.59	1353.76
HSERMETANA-PWY: L-methionine biosynthesis III	4587.56	3384.52	6775.1	5124.73	3800.61	5595.77	4587.35	4730.35	3290.27	5517.53	4230.63	5631.98	6292.93	5932.35	3466.98	6249.91	5362.4	4880.2	3722.54	3823.67	6141.41	4806.85	4596.13	3549.11	3516.69	4427.26	6169.15	5591.69	4457.93
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	7243.68	9606.72	8071.29	8884.89	8991.86	8183.5	9545.56	7910.21	8888.32	9285.49	8647.87	8892.79	6736.18	8626.16	9424.92	7879.82	8062.68	11120.1	5380.58	6225.29	8372.45	9444.08	7719.37	7770.72	10170.7	8216.44	9371.79	8206.0	10193.3
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.0	0.0	0.0	0.0	0.0	94.7682	0.0	0.0	0.0	0.0	125.34	37.6662	0.0	0.0	0.0	0.0	0.0	0.0	422.245	408.311	49.4902	0.0	0.0	26.3041	0.0	0.0	0.0	0.0	3.88553
KETOGLUCONMET-PWY: ketogluconate metabolism	98.1753	193.304	150.634	89.7775	306.4	452.132	293.274	131.586	140.022	225.434	1193.0	675.034	543.967	338.409	205.166	73.9732	414.873	216.209	3559.73	1680.03	209.783	83.1911	212.104	120.691	194.97	16.1471	435.736	197.588	417.042
LACTOSECAT-PWY: lactose and galactose degradation I	335.779	2355.51	1221.84	271.78	626.472	758.372	840.457	3200.91	577.795	762.331	671.06	557.988	935.138	4376.93	900.334	956.381	1533.69	1154.06	496.524	902.412	915.361	1716.28	1286.47	1082.92	824.174	773.404	1122.92	1934.15	459.445
LEU-DEG2-PWY: L-leucine degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.48859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LIPASYN-PWY: phospholipases	0.0	361.081	30.9499	0.0	42.3782	190.278	0.0	0.0	0.0	181.4	758.491	136.155	28.5632	0.0	80.0891	0.0	85.6603	0.0	1872.15	1136.96	283.96	27.6925	0.0	129.673	61.3203	0.0	0.0	173.953	59.4276
