sample	LA_RV_395_6024a_S62	LA_RV_389_6006a_S56	LA_RV_382_5978a_S49	LA_RV_372_5944a_S39	LA_RV_352_5899a_S19	293_5828a	289_5851a	228_5756a	227_5749a	225_5747a	222_5735a	220_5717a	207_5670a	203_5662a	199_5632a	197_5625a	188_5571a	186_5559a	180_5521a	178_5685a	160_5453a	115_5235a	113_5241a	088_5114a	083_5091a	065_5037a	054_4976a	046_4949a	029_4870a
Trueperella_pyogenes|t__SGB17137	0.0	0.00028	0.0	0.0	0.0	0.00111	0.0	0.00112	0.00143	0.0	0.0	0.0	0.00186	0.0	0.00104	0.0	0.0	0.00233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloscardovia_omnicolens|t__SGB17300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00279	0.0	0.0	0.0	0.00735	0.0	0.0	0.0	0.0	0.0	0.0	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_adolescentis|t__SGB17244	0.0	4.21063	4.03756	14.99061	0.66212	1.2033	2.15295	6.19692	1.82599	0.0	0.0	5.15383	1.86459	0.16894	2.01034	0.0	0.0	0.0	0.0	2.60841	0.0	0.0	1.4148	0.0	0.00046	0.00542	2.09853	0.0	0.65094
Bifidobacterium_angulatum|t__SGB17231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82909
Bifidobacterium_animalis|t__SGB17278	0.0	0.01597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74229	0.0	0.0	0.08006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_bifidum|t__SGB17256	0.0	0.0	0.00581	2.57224	0.11121	1.56778	1.12022	3.62326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57781	0.0	0.0	1.79765	0.0	0.0	0.0	0.59802	0.0	0.0
Bifidobacterium_breve|t__SGB17247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36026	0.0	0.0	0.0	0.0	0.0	0.01092	0.0	0.0	0.0	0.0	0.08876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_catenulatum|t__SGB17241	0.01836	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.28194	0.0	0.0	0.02246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78878	0.0	0.0	0.71099	0.0	0.0	0.0
Bifidobacterium_dentium|t__SGB17234	0.0	0.06579	0.0	0.0	0.0	0.0	0.0	0.0	0.03649	0.0	0.00826	0.0	0.00052	0.0	0.0	0.0	0.11017	0.0	0.0035	0.0	0.0	0.01017	0.00036	0.0	0.01055	0.0	0.0	0.0	0.0
Bifidobacterium_longum|t__SGB17248	0.33546	3.4509	0.62867	2.0867	0.51547	0.0	0.28552	5.20319	0.18137	0.0	0.0	1.04437	0.02503	0.0855	0.66502	0.0	2.81298	1.19498	4.51109	1.08295	0.0	0.0	2.41661	1.69865	1.1515	10.64279	0.31854	0.18527	0.22466
Bifidobacterium_pseudocatenulatum|t__SGB17237	1.60467	4.41683	0.0	0.0	0.0	1.31909	0.00111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00793	0.0	0.0	0.33417	5.05631	0.0	0.0	0.0	0.0	1.72932	3.90193	0.0	0.00838	0.0	0.0
Bifidobacterium_pseudolongum|t__SGB17279	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_pullorum|t__SGB17264	0.0	0.0	0.00332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_scardovii|t__SGB17257	0.0	0.0	0.00853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella_vaginalis|t__SGB7097	0.0	0.02768	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parascardovia_denticolens|t__SGB17291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scardovia_wiggsiae|t__SGB15494	0.0	0.00152	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium_argentoratense|t__SGB17009	0.0	0.0	0.0	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00502	0.0	0.0	0.0	0.0	0.0
Corynebacterium_casei|t__SGB17127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01921	0.0	0.0
Corynebacterium_durum|t__SGB17008	0.0	0.0	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028	0.0	0.0
Corynebacterium_variabile|t__SGB17034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kytococcus_sedentarius|t__SGB17151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Microbacterium_SGB53518|t__SGB53518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00794	0.0	0.0
Rothia_dentocariosa|t__SGB16988_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00306	0.0	0.0	0.0	0.00154	0.0	0.0	0.0	0.00429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rothia_mucilaginosa|t__SGB16971	0.0	0.0	0.00968	0.0	0.0	0.0	0.0	0.00192	0.0	0.03457	0.0	0.0	0.0	0.0	0.00829	0.0	0.0	0.0	0.00091	0.0	0.0	0.00699	0.0	7e-05	0.0	0.00463	0.00231	0.00999	0.001
Rothia_mucilaginosa|t__SGB16986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00262	0.0	0.0	0.0	0.00046	0.0	0.0	0.0	0.0	0.0
Isoptericola_variabilis|t__SGB17153_group	0.0	0.0	0.00767	0.0	0.0	0.0	0.00083	0.02361	0.0	0.01402	0.0	0.0	0.00663	0.0	0.0	0.00144	0.0	0.00031	0.00015	0.00954	0.0	0.03817	0.00098	0.0	0.0	0.0321	0.00356	0.00253	0.00384
Propionibacterium_acidifaciens|t__SGB15903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacterium_freudenreichii|t__SGB15904	0.01066	0.0	0.14892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00228	0.0	0.0	0.0	0.0	0.0	0.0	0.14586	0.0	0.0
GGB51960_SGB72480|t__SGB72480	0.0	0.05499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09288	0.0	0.0	0.00335	0.0	0.0	0.0	0.0	0.0	0.0	0.03664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB18381_SGB27144|t__SGB27144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB51959_SGB72479|t__SGB72479	0.0	0.0	0.0	0.0	0.0	0.01867	0.05544	0.0	0.0	0.0	0.0	0.0	0.00328	0.0	0.0	0.0	0.0	0.0	0.19517	0.00967	0.0	0.19153	0.0	0.02077	0.0	0.0	0.01016	0.0	0.0
Atopobium_deltae|t__SGB988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB25437_SGB37391|t__SGB37391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB9369_SGB14350|t__SGB14350	0.0	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lancefieldella_parvula|t__SGB969	0.0	0.0	0.0	0.0	0.0	0.00024	0.0	0.0	0.00645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_profusa|t__SGB14387	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_provencensis|t__SGB14367	0.03867	0.0	0.0	0.0	0.00165	0.0	0.0	0.0	0.0	0.0	0.14314	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_sp_An188|t__SGB14364	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_sp_GAM18|t__SGB14370_group	0.0	0.0	0.10257	0.0	0.0	0.08646	0.00362	0.0	0.02546	0.0063	0.0	0.0	0.00234	0.0	0.01905	0.0	0.0	0.0244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03171	0.0	0.0
Olsenella_sp_oral_taxon_807|t__SGB14348	0.0	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.00329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_timonensis|t__SGB14360	0.0	0.06939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_uli|t__SGB14386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parolsenella_SGB14378|t__SGB14378	0.0	0.49689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parolsenella_catena|t__SGB14379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_SGB14754|t__SGB14754	0.0	0.0	0.0	0.0	0.00283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_aerofaciens|t__SGB14546_group	0.32663	4.25799	2.05149	1.82421	0.0	2.01337	3.2048	0.56395	0.86269	0.89136	0.0	2.07342	0.9261	0.74987	1.46741	10.85605	1.08894	0.0	0.0	0.55836	0.0	3.81142	1.03456	0.60086	0.0	0.0	0.65065	2.18248	0.0
Collinsella_bouchesdurhonensis|t__SGB14397	0.0	0.15791	0.09007	0.0	0.0	0.0	0.18739	0.0	0.0	0.0	0.0	0.0	0.08052	0.0	0.09537	0.48149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_intestinalis|t__SGB14741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0
Collinsella_phocaeensis|t__SGB14745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_provencensis|t__SGB14748	0.0	0.00594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_sp_AF08_23|t__SGB14739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_sp_An268|t__SGB14757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_sp_An307|t__SGB14758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_sp_An7|t__SGB14759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_tanakaei|t__SGB14737	0.0	0.14862	0.0	0.0	0.46016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_massiliensis|t__SGB14752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enorma_SGB14753|t__SGB14753	0.0	0.00363	0.02346	0.0	0.0	0.0	0.0	0.0	0.0	0.02813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07871	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enorma_massiliensis|t__SGB14749	0.0	0.0	0.0	0.0	0.03324	0.0	0.0	1.16563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enorma_phocaeensis|t__SGB33571	0.0	0.0	0.0	0.0	0.00338	0.0	0.0	0.15762	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Senegalimassilia_anaerobia|t__SGB14824_group	0.0	0.25067	0.18492	0.0	0.0	0.1957	0.02728	0.0	0.0	0.25564	0.0	0.05344	0.16246	0.0	0.03584	0.0	0.24723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03527	0.0	0.0
Senegalimassilia_faecalis|t__SGB14822	0.0	0.0	0.0	0.0	0.0	0.15267	0.03901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coriobacteriales_unclassified_SGB72475|t__SGB72475_group	0.0	0.0	0.0405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coriobacteriia_bacterium|t__SGB14770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coriobacteriia_unclassified_SGB14764|t__SGB14764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia_equolifaciens|t__SGB14797_group	0.07606	0.25793	0.0302	0.11504	0.02696	0.00094	0.0	0.6737	0.18065	0.07217	0.0	0.04614	0.02976	0.0838	0.0	0.20172	0.0539	0.31851	1.27403	0.17405	0.0	0.55564	0.0	0.27872	0.0	0.03181	0.07213	0.0	0.21057
Eggerthellaceae_bacterium|t__SGB14334	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	1.04244	0.0	0.0	0.0	0.0	0.18509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59253	0.0	0.0	0.0	0.0
