sample	007_4640a	008_4655a	010_4671a	026_4858a	032_4883a	043_4947a	051_4967a	056_4978a	085_5110a	093_5162a	100_5150a	128_5318a	149_5373a	150_5340a	161_5469a	179_5504a	185_5554a	195_5610a	198_5605a	213_5692a	216_5714a	218_5723a	223_5732a	229_5764a	234_5779a	284_5789a	285_5792a	291_5865a	LA_RV_355_5908a_S22	LA_RV_373_5965a_S40
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00349177	0.000576922	0.000567783	0.000977313	0.000734257	0.00113302	0.000895894	0.0013987	0.00152857	0.00141215	0.000491207	0.00102229	0.000948886	0.000489197	0.000856361	0.00139763	0.00246595	0.00119135	0.00122711	0.00155368	0.0017257	0.000555952	0.00173581	0.00221735	0.0019617	0.00108448	0.00118407	0.00157351	0.00105475	0.00115261
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.64364e-05	0.0	9.66843e-05	0.0	0.0	2.92032e-05	0.0	0.0	0.000172689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221068	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00097934	0.00242696	0.00100055	0.00108549	0.000669058	0.000638623	0.00208365	0.00302649	0.000229858	0.000940142	0.000503944	0.000521767	0.000435478	0.000400151	0.00100052	0.000508546	0.00235881	0.00157979	0.00139147	0.00135586	0.00188197	0.00151443	0.00157444	0.00101765	0.000600223	0.000973667	0.001063	0.00257212	0.000420742	0.000661699
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00554784	0.00801791	0.00764107	0.00837531	0.00790008	0.00753579	0.00717642	0.00406682	0.00813845	0.00677107	0.00955666	0.00626876	0.00783412	0.00711372	0.00790232	0.00702902	0.00537593	0.00684599	0.00723357	0.00698995	0.00804167	0.00767845	0.00653323	0.00614867	0.00716813	0.00789202	0.00784884	0.00628754	0.00538473	0.00706603
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00555357	0.00822884	0.00769284	0.00843506	0.00789433	0.00731773	0.00673394	0.00331998	0.00821321	0.00660161	0.00965888	0.0057056	0.00776613	0.00660602	0.00778586	0.00660425	0.00534224	0.00663365	0.007154	0.00698279	0.00806763	0.0079241	0.00609316	0.00589387	0.00659462	0.00797751	0.0078398	0.00580195	0.00476351	0.00688059
ARO-PWY: chorismate biosynthesis I	0.00600388	0.0100825	0.00962953	0.00973229	0.00962603	0.00897307	0.010911	0.00899609	0.0103435	0.0086289	0.0100627	0.00970848	0.00895381	0.00937662	0.00944877	0.00950234	0.00712515	0.0100355	0.00912934	0.00946702	0.00970312	0.00954781	0.00778234	0.00837732	0.00889722	0.00952482	0.009508	0.00906401	0.00999486	0.00913879
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00472695	0.00464	0.00412039	0.00390438	0.00433356	0.00410677	0.00386901	0.00392984	0.00523146	0.0042943	0.0037652	0.00687854	0.00422121	0.00558041	0.00524664	0.0060608	0.00396312	0.00365252	0.00451501	0.00508692	0.00437985	0.00541092	0.00483625	0.00315772	0.0049861	0.00416648	0.00421218	0.00516826	0.0060692	0.00386628
AST-PWY: L-arginine degradation II (AST pathway)	0.00198603	0.0	0.0	0.0	0.0	0.0	0.0	0.000109346	0.0	8.81211e-05	0.0	0.0	2.71802e-05	0.0	0.0	0.000233095	0.000686335	0.0	0.0	0.0	0.0	0.0	7.6129e-05	0.000166315	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00348771	0.000743334	0.00077486	0.000865389	0.000933245	0.00108472	0.000917948	0.00133782	0.000690226	0.00189637	0.000803525	0.000490863	0.00128217	0.000296921	0.00111867	0.00102857	0.0027116	0.000549802	0.000904103	0.000469545	0.000829168	0.000868799	0.00121384	0.0016536	0.0014614	0.0012528	0.00127071	0.000531586	0.00134561	0.000811524
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00710268	0.00997837	0.00892333	0.0100794	0.00878263	0.00826972	0.00760403	0.00496945	0.0083624	0.00772115	0.00962973	0.00666463	0.00813381	0.00743416	0.00870719	0.00810662	0.00699483	0.00760261	0.00815698	0.00742611	0.00857923	0.00891106	0.00677545	0.00653308	0.00704469	0.00863513	0.00843872	0.00666745	0.00642344	0.00758833
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00642004	0.0103559	0.00949449	0.00958259	0.00964098	0.00990394	0.0114492	0.0099924	0.0109112	0.00977056	0.0098684	0.0113495	0.0108609	0.0118525	0.0095985	0.00962168	0.0072705	0.0106685	0.0089309	0.0106399	0.00968703	0.00896246	0.00972552	0.00976814	0.00947296	0.00970536	0.00981416	0.0103207	0.0126008	0.0092857
CARNMET-PWY: L-carnitine degradation I	0.000666102	0.0	0.0	2.52318e-05	0.0	0.0	0.0	5.1106e-05	0.0	5.15091e-05	0.0	0.0	1.1464e-05	0.0	0.0	2.19003e-05	0.00026649	0.0	0.0	0.0	0.0	0.0	1.19022e-05	5.61952e-05	0.0	0.0	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.0	0.0	0.0	1.4435e-06	0.0	0.0	0.0	2.68964e-05	0.0	0.0	0.0	0.0	0.0	8.05923e-06	0.0	6.40654e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75184e-06	1.01727e-05	0.0	0.0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.000538591	0.000879257	0.000985609	0.000631711	0.0012142	0.00100627	0.000288546	0.000702809	0.00272806	0.00136365	0.00102606	0.000858037	0.0014885	0.000720584	0.00135282	0.000530719	0.00148502	0.00090716	0.000665298	0.00104692	0.000954196	0.00080027	0.00160299	0.000942588	0.00144463	0.00135819	0.00144265	0.00112273	0.000752624	0.00128283
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	2.15743e-05	0.0	4.56309e-05	3.64939e-05	8.56003e-06	6.69312e-06	0.0	1.04772e-05	1.85125e-05	4.98874e-05	1.3323e-05	1.39454e-05	3.53456e-05	7.02506e-06	2.44099e-05	0.0	8.50531e-06	1.22082e-05	2.06181e-05	0.0	3.7275e-05	3.42954e-05	8.53984e-06	1.48144e-05	1.01338e-05	0.0	1.15112e-05	0.0	1.89977e-05	3.61882e-05
CITRULBIO-PWY: L-citrulline biosynthesis	0.00139908	0.00332981	0.00143467	0.00155527	0.000979012	0.00092889	0.00282529	0.0034375	0.000174475	0.00135643	0.000742014	0.000459523	0.000643736	0.000588858	0.00144428	0.000736459	0.00308577	0.00217059	0.00194087	0.00190857	0.002613	0.00211657	0.00222186	0.00141697	0.000880773	0.00140264	0.0015241	0.00330745	0.000921674	0.000963549
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.00353777	0.00893452	0.00847367	0.00831276	0.00811504	0.00773415	0.00923808	0.00840456	0.00777461	0.00761077	0.0077422	0.00774086	0.00705445	0.00966906	0.00810453	0.00921604	0.00598419	0.00872803	0.00833939	0.00874136	0.00832513	0.00857746	0.00819539	0.00786779	0.00711401	0.00751546	0.00747414	0.00895949	0.00760603	0.00754709
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00412181	0.00833325	0.00798525	0.00780545	0.00763144	0.00736042	0.00921636	0.00810376	0.00749751	0.00748619	0.00725568	0.00799322	0.00647478	0.00973772	0.00767382	0.0101674	0.00609893	0.00835945	0.0079148	0.00848321	0.00787619	0.00819613	0.00779733	0.00871673	0.0067762	0.00700306	0.00696043	0.00878872	0.00948069	0.00710928
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.00410504	0.00463301	0.00307944	0.00335827	0.00331197	0.00215285	0.00224276	0.00124082	0.00241835	0.00262547	0.00223428	0.00167675	0.00283058	0.00304897	0.00260114	0.00204963	0.00316655	0.00261941	0.00310098	0.00317809	0.00330425	0.00289074	0.00219352	0.00253471	0.00199944	0.00267471	0.00263344	0.00290375	0.00181068	0.00292773
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.00320458	0.00360781	0.00325573	0.00343319	0.00399863	0.00400782	0.0045913	0.00412136	0.00438027	0.003458	0.00340395	0.00438102	0.0037006	0.0033679	0.00322314	0.00541044	0.00372195	0.00365444	0.00396122	0.00351881	0.00386312	0.00421932	0.00371435	0.00457703	0.00448821	0.00412899	0.00403114	0.00398411	0.00649806	0.00350718
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.00577058	0.00917919	0.00908846	0.00915861	0.00952298	0.00890161	0.0101124	0.00710749	0.00951906	0.00774605	0.00961609	0.00946847	0.00778742	0.00888269	0.00857767	0.00888596	0.00701419	0.00877612	0.00884237	0.00892131	0.00888072	0.00942965	0.00730526	0.00879041	0.00783127	0.00870649	0.0086857	0.00899322	0.00959216	0.00860802
CRNFORCAT-PWY: creatinine degradation I	1.47122e-05	0.0	8.29471e-05	1.52532e-05	4.17997e-05	0.0	3.74257e-05	3.51069e-05	0.0	0.0	2.67235e-05	0.0	8.33323e-05	4.21634e-05	9.82374e-05	0.0	1.06061e-05	5.48465e-05	0.0	0.0	2.75393e-05	1.73902e-05	9.25352e-05	1.41687e-05	0.00016855	0.0	2.61478e-05	0.0	0.0	8.46299e-05
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.00411654	0.00510626	0.00351549	0.0037372	0.00378483	0.00391566	0.00234275	0.00218781	0.00309419	0.00374349	0.00459626	0.00193579	0.00448086	0.00433849	0.00331418	0.00386032	0.00314086	0.00259585	0.0034568	0.0039053	0.0039006	0.00416467	0.00320692	0.00297071	0.00440908	0.00450958	0.00441529	0.00283171	0.00135649	0.00380804
DARABCATK12-PWY: D-arabinose degradation I	0.000493712	0.000160587	0.000285047	0.000133534	0.00022223	0.000372728	0.000288026	0.000552564	3.07575e-05	0.000362977	0.000149346	2.03521e-05	0.00018364	7.64407e-05	0.000185272	0.000213047	0.00076043	7.55711e-05	0.000249754	0.000130278	9.34004e-05	9.22512e-05	0.000450667	0.000413275	0.000313001	0.000127005	0.000138789	6.07439e-05	7.06021e-05	0.000251806
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0.0	0.0	2.23405e-05	2.63498e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36446e-05	1.12441e-05	3.54201e-05	1.31795e-05	2.43851e-05	9.90279e-06	0.0	2.12322e-05	4.04967e-05	5.18899e-05	8.42821e-06	0.0	0.0	2.35892e-05	0.0	0.0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.00198314	0.000664615	0.000323398	0.00040818	0.000353466	0.00014859	0.0	0.0	0.0	0.000417108	0.00156216	0.000428955	0.0	6.99929e-05	0.0	0.00050412	0.00292255	0.0	0.00013863	0.0	0.0	0.000331657	0.0	0.00121104	0.000276224	0.000324415	0.000277969	0.000134825	0.000485818	0.0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.00524777	0.0115027	0.0117423	0.0107374	0.0100986	0.0111761	0.0166254	0.0165098	0.0103567	0.0111015	0.00934424	0.0156333	0.00890309	0.0148574	0.0113938	0.0127864	0.00735337	0.0109238	0.0111123	0.0140321	0.00973593	0.012558	0.0106125	0.0164796	0.0107968	0.0124585	0.011968	0.0112176	0.0156711	0.0118848
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.000844506	0.0	0.0	4.94504e-05	0.0	0.0	0.0	8.83841e-05	0.0	0.000107299	0.0	0.0	2.42049e-05	0.0	0.0	0.000130053	0.000327845	0.0	0.0	0.0	0.0	0.0	8.92558e-05	0.000220582	0.0	0.0	0.0	0.0	0.0	0.0
ERGOSTEROL-SYN-PWY: superpathway of ergosterol biosynthesis I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.00302626	0.0	0.0	9.29257e-05	0.0	0.0	0.0	0.000535594	0.0	0.000451457	0.0	0.0	7.09608e-05	2.3262e-05	0.0	0.000368223	0.00177312	0.0	0.0	0.0	0.0	0.0	0.000339839	0.000814694	0.0	0.0	0.0	0.0	0.0	0.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.00434648	0.00257031	0.00311756	0.00245559	0.00308719	0.00398615	0.0032449	0.00327919	0.00155509	0.00326233	0.0019204	0.0021963	0.00226639	0.00142692	0.00314194	0.00158398	0.00321851	0.0025039	0.00300335	0.00277527	0.0029362	0.00252372	0.00304634	0.00234507	0.00308895	0.00267735	0.00276602	0.0031827	0.00294824	0.0027044
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0	0.0	0.0	0.000186978	0.0001075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.17038e-05	0.0	0.0	0.000129296	0.000100632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000123394	0.0	0.0
FERMENTATION-PWY: mixed acid fermentation	0.00548428	0.00621844	0.00523226	0.00487397	0.00603094	0.00517361	0.00390535	0.0038167	0.00590677	0.00415479	0.00499269	0.00570029	0.00554706	0.00663453	0.00549777	0.00313279	0.00507932	0.00479454	0.00445787	0.00649461	0.00464758	0.0041961	0.00534205	0.00433158	0.00468529	0.00457905	0.00458537	0.00392901	0.00534607	0.00594678
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.00225021	0.000454564	0.000689409	0.000632372	0.000157081	0.00077514	0.000661203	0.000516388	0.000527123	0.000581093	0.0023071	0.000347032	0.000572562	0.000308715	0.000585908	0.000641033	0.00160696	0.000192814	0.00082277	0.000709576	0.000712453	0.00127819	0.000463869	0.000789381	0.000634964	0.000426208	0.000420867	0.00056566	0.000731446	0.000647522
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.00259813	0.000554926	0.00139122	0.00121931	0.00112185	0.000847938	0.00119827	0.00127195	0.000454114	0.000861178	0.000710639	0.000351021	0.000921693	0.000529386	0.00102381	0.000665916	0.00237645	0.000714978	0.00062106	0.0011544	0.00157125	0.000839021	0.000961819	0.00128615	0.00055741	0.00121433	0.00135931	0.000834006	0.000632278	0.000895994
FUCCAT-PWY: fucose degradation	0.00263975	0.000279119	0.000880182	0.000836101	0.000737967	0.000481322	0.000780724	0.000644246	0.0011554	0.000486698	0.000593033	0.000293711	0.000756145	0.00030726	0.000691582	0.000545607	0.00155462	0.000348836	0.000315882	0.000605547	0.00112749	0.000506554	0.00056991	0.00084482	0.000300088	0.00075978	0.000883401	0.000464549	0.000332057	0.000629747
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.00216066	0.000982572	0.000508529	0.000988276	0.000526916	0.000535161	0.000477444	0.000739035	0.000610636	0.000778877	0.000236089	0.000676239	0.000963882	0.00060295	0.000544257	0.000759423	0.00164035	0.000445276	0.00104927	0.000368642	0.00026319	0.000825658	0.00112226	0.0012717	0.000620478	0.000539595	0.000546947	0.000701335	0.000822243	0.000861503
GALACTARDEG-PWY: D-galactarate degradation I	0.00461179	6.0449e-05	6.65727e-05	3.93017e-05	8.76527e-05	0.00011961	0.00016887	0.000524342	9.60308e-05	0.000428726	4.44836e-05	4.51785e-05	0.000117313	0.000101502	6.62228e-05	0.000398933	0.00188311	9.71199e-05	6.17261e-05	6.92052e-05	7.31909e-05	4.93348e-05	0.000189281	0.000760085	0.00011722	5.40434e-05	2.0875e-05	1.96972e-05	1.91962e-05	7.35251e-05
GALACTITOLCAT-PWY: galactitol degradation	0.00385304	8.28224e-05	0.000109458	7.46867e-05	4.22025e-05	0.000188733	3.52984e-05	0.000329218	2.85063e-05	0.000154416	0.000146394	0.000117073	0.000123617	3.52056e-05	1.26356e-05	0.000112844	0.00181444	0.000115959	0.000271272	4.80388e-05	4.53588e-05	0.00013332	0.000276941	0.000691127	4.57077e-05	0.000120092	7.32459e-05	3.55635e-06	0.000117109	0.000150275
GALACTUROCAT-PWY: D-galacturonate degradation I	0.00172987	0.0027229	0.00175385	0.0019447	0.00150833	0.00161293	0.00158793	0.000891989	0.00177894	0.00128862	0.000759379	0.00145743	0.00240496	0.00186488	0.00148381	0.00156739	0.00151116	0.00148405	0.00203399	0.00211249	0.00155791	0.0015453	0.00148333	0.00232072	0.0014285	0.00161843	0.00142317	0.00138729	0.00134842	0.00158931
GALLATE-DEGRADATION-I-PWY: gallate degradation II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.58145e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALLATE-DEGRADATION-II-PWY: gallate degradation I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.027e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69866e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.00336929	0.00265164	0.00135567	0.00119827	0.00239474	0.00095364	0.00217758	0.0018628	0.000788444	0.00207309	0.00117084	0.000836196	0.000943252	0.00122744	0.00115507	0.00101275	0.00233813	0.00226244	0.00166057	0.00186066	0.0019078	0.00245609	0.00218125	0.00221782	0.00138789	0.0018813	0.00179105	0.00248679	0.000880894	0.00164564
GLUCARDEG-PWY: D-glucarate degradation I	0.00329055	5.81587e-05	6.05194e-05	3.15452e-05	8.02655e-05	0.000106054	0.000140854	0.000371777	8.32869e-05	0.000343166	3.78397e-05	3.6237e-05	0.000107213	9.03709e-05	3.92186e-05	0.000314737	0.00147281	8.54311e-05	4.74497e-05	5.67356e-05	6.97705e-05	4.78215e-05	0.000155418	0.000574498	0.000108302	5.20548e-05	2.06057e-05	1.9584e-05	1.86082e-05	4.31268e-05
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.00461179	6.0449e-05	6.65727e-05	3.93017e-05	8.76527e-05	0.00011961	0.00016887	0.000524342	9.60308e-05	0.000428726	4.44836e-05	4.51785e-05	0.000117313	0.000101502	6.62228e-05	0.000398933	0.00188311	9.71199e-05	6.17261e-05	6.92052e-05	7.31909e-05	4.93348e-05	0.000189281	0.000760085	0.00011722	5.40434e-05	2.0875e-05	1.96972e-05	1.91962e-05	7.35251e-05
GLUCONEO-PWY: gluconeogenesis I	0.00501496	0.00392946	0.0047828	0.00325603	0.00570731	0.0051954	0.00689291	0.00472011	0.00576326	0.00591377	0.00338935	0.00582921	0.00579637	0.00563281	0.00620809	0.00494043	0.0048943	0.00463664	0.00463876	0.00666036	0.00391164	0.00363398	0.00773544	0.00661093	0.00840224	0.00561619	0.00559475	0.00735374	0.00743031	0.00558352
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.00335157	0.0	0.00463798	0.00571023	0.00402612	0.00486286	0.00718369	0.00641923	0.0	0.00376499	0.0	0.00865532	0.00407936	0.00831851	0.00541952	0.00867627	0.00469927	0.0	0.00474213	0.0	0.00437352	0.0058036	0.00500414	0.00590138	0.00426246	0.0046965	0.00450541	0.00570822	0.0110058	0.00552938
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0.0019354	0.00235361	0.00155338	0.00168063	0.00131107	0.00117964	0.000780448	0.000711305	0.00172397	0.00116559	0.000669493	0.00115062	0.00161497	0.00153537	0.00144508	0.00116816	0.00152847	0.000963308	0.00206014	0.00155088	0.00143262	0.00142216	0.00123653	0.00180349	0.00112967	0.00117302	0.00109536	0.000690087	0.00102543	0.00143699
GLUDEG-I-PWY: GABA shunt	0.000196268	4.56971e-05	0.000213111	1.65863e-05	7.46129e-05	0.000212976	7.90282e-05	6.15297e-05	4.97475e-05	5.78488e-05	7.65843e-05	0.000306786	0.000129128	0.000124828	0.000350861	0.000110263	1.61859e-05	4.39512e-05	3.99251e-05	0.000105227	0.000140632	7.45959e-05	0.000152933	0.000123171	0.000143063	3.49389e-05	5.03896e-05	0.000148913	0.000156829	0.000196297
GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate)	1.84477e-05	0.0	5.30666e-05	0.000103823	0.000158603	7.07342e-05	5.32039e-05	0.000293912	0.000108603	0.000234797	0.000149982	6.49469e-05	0.000388804	0.0	7.67228e-05	0.000143111	0.000152543	7.02614e-05	6.80338e-05	0.000106161	0.000123217	7.3808e-06	0.000367073	2.66899e-05	0.000131918	0.000147275	0.000215982	0.0	0.00010656	0.000117557
GLUTORN-PWY: L-ornithine biosynthesis I	0.00522516	0.00756985	0.00638363	0.0077857	0.00631865	0.00625696	0.00649295	0.00340476	0.00672596	0.0055648	0.00861726	0.00593121	0.00645848	0.00703388	0.00646273	0.00629033	0.00550686	0.00596915	0.00644676	0.00620535	0.0070146	0.00691418	0.00478382	0.00624024	0.00477636	0.00676287	0.00664128	0.00552765	0.0050553	0.00506295
GLYCOCAT-PWY: glycogen degradation I	0.00152413	0.00329459	0.00232398	0.00394236	0.00213747	0.00210175	0.00347015	0.00477716	0.00288511	0.00410015	0.00312813	0.00311936	0.00519266	0.00111945	0.0038005	0.00141985	0.000540212	0.00246715	0.00162201	0.00238198	0.00291195	0.00235991	0.00231068	0.00212428	0.00249755	0.00235775	0.00223266	0.00158656	0.00292763	0.00342941
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.00630567	0.0136296	0.0127321	0.0122319	0.0130966	0.0128309	0.0123337	0.00770772	0.0131113	0.0117308	0.0127878	0.00998829	0.0120659	0.0129229	0.012097	0.00983153	0.00739792	0.0118653	0.0112282	0.0120548	0.0130366	0.0104775	0.0103848	0.01194	0.0111845	0.0123476	0.0123715	0.0105191	0.0123747	0.012243
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.00116324	0.0	1.00699e-05	0.000134865	2.29296e-05	1.44851e-05	0.0	0.000789417	9.18716e-06	0.000483295	0.0	1.36567e-05	0.000115839	1.47247e-05	5.40342e-05	0.000232824	0.00091589	1.46285e-05	5.10682e-05	6.51237e-05	2.04486e-05	0.0	0.000424316	0.000497581	6.07549e-05	1.88051e-05	2.50889e-05	4.16624e-05	6.53745e-05	5.05606e-05
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0.00398428	0.000525548	0.00147247	0.000850752	0.000909311	0.0017114	0.00132385	0.00120216	0.00119007	0.00149098	0.000680636	0.00122186	0.00114057	0.0017426	0.00201456	0.00262326	0.00275754	0.00149021	0.00180175	0.00233479	0.00141748	0.00126165	0.00193414	0.001433	0.00164515	0.000533568	0.00072593	0.00222116	0.00160103	0.00212241
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.00294135	0.0	0.0	0.000134922	0.0	0.0	0.0	0.000310507	0.0	0.000356395	0.0	0.0	0.000135223	0.0	0.0	0.000407762	0.00166903	0.0	0.0	0.0	0.0	0.0	0.000240208	0.000750417	0.0	0.0	0.0	0.0	0.0	0.0
