sample	LA_RV_373_5965a_S40	LA_RV_355_5908a_S22	291_5865a	285_5792a	284_5789a	234_5779a	229_5764a	223_5732a	218_5723a	216_5714a	213_5692a	198_5605a	195_5610a	185_5554a	179_5504a	161_5469a	150_5340a	149_5373a	128_5318a	100_5150a	093_5162a	085_5110a	056_4978a	051_4967a	043_4947a	032_4883a	026_4858a	010_4671a	008_4655a	007_4640a
Actinomyces_SGB17154|t__SGB17154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01133	0.00556	0.0	0.0	0.00366	0.00669	0.00133	0.06503	0.00702	0.0	0.0	0.00538	0.0	0.01692	0.0	0.0	0.0	0.0
Actinomyces_SGB17168|t__SGB17168	0.0	0.0	0.01409	0.18366	0.18035	0.0	0.0	0.0	0.04641	0.00126	0.00077	0.0	0.0	0.0	0.0008	0.0	0.0	0.01805	0.0136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01055	0.0	0.0	0.0
Actinomyces_bouchesdurhonensis|t__SGB17152	0.01082	0.0	0.05119	0.0	0.0	0.0	0.0	0.0	0.03676	0.00221	0.0	0.0	0.0	0.06859	0.0	0.00471	0.0	0.00121	0.02266	0.00916	0.0	0.0	0.0	0.0	0.0	0.0	0.02684	0.00467	0.0	0.0
Actinomyces_dentalis|t__SGB15877	0.0	0.0	0.0	0.00327	0.00012	0.0	0.0	0.0	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_gerencseriae|t__SGB15874	0.0	0.0	0.0	0.00203	0.0	0.00179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342
Actinomyces_graevenitzii|t__SGB17130	0.00017	0.0	0.00945	0.04059	0.02282	0.0465	0.0	0.0	0.00336	0.0	0.0	0.0	0.00232	0.00939	0.00582	0.00281	0.0	0.00192	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00031	0.0	0.00098	0.00372	0.00173
Actinomyces_israelii|t__SGB15875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_massiliensis|t__SGB15873	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_naeslundii|t__SGB15888	0.0	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.00413	0.0	0.0	0.00059	0.01377	0.00304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_oris|t__SGB15878	0.0	0.0	0.0	0.02617	0.01924	0.0186	0.0	0.0	0.00149	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.03953	0.00638	0.0	0.0	0.0	0.0	0.0	0.00418	0.0	0.0	0.0	0.00288
Actinomyces_sp_ICM47|t__SGB17167	0.00121	0.0	0.01914	0.01234	0.00494	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.03885	0.01787	0.0	0.00127	0.00403	0.00967	0.00183	0.0	0.00216	0.0	0.0	0.0	0.00485	0.00398	0.00185	0.0	0.01107
Actinomyces_sp_ICM58|t__SGB17169	0.00499	0.0	0.0	0.0	0.0	0.09271	0.01871	0.0	0.0	0.0	0.0	0.0	0.0061	0.0	0.0	0.01096	0.00158	0.0	0.0	0.0	0.0	0.0074	0.0	0.0	0.01261	0.0	0.0	0.0	0.0	0.0
Actinomyces_sp_S6_Spd3|t__SGB17132_group	0.0	0.0	0.0	0.00199	0.00115	0.0	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_sp_oral_taxon_448|t__SGB15872	0.0	0.0	0.0	0.00027	0.0	0.00652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149	0.0	0.0	0.0	0.0	0.00476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcanobacterium_urinimassiliense|t__SGB17203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mobiluncus_SGB15488|t__SGB15488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00446
Pauljensenia_hongkongensis|t__SGB17148	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Schaalia_turicensis|t__SGB17195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021
Trueperella_pyogenes|t__SGB17137	0.0	0.0	0.0	0.0	0.0	0.00745	0.0	0.0	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Varibaculum_SGB15480|t__SGB15480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Varibaculum_cambriense|t__SGB15482_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloscardovia_omnicolens|t__SGB17300	0.0	0.0	0.0	0.0	0.0	0.00153	0.0	0.0	0.0	0.0	0.0	0.00128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_adolescentis|t__SGB17244	0.13347	0.11049	2.78258	0.0	0.0	0.0	0.0	0.5449	13.69241	0.88805	0.40221	9.41341	1.80554	0.0	0.0	5.16109	0.43759	0.0	0.69848	6.80743	1.55827	0.21042	0.0	0.00011	0.0	0.0	2.71124	2.13804	0.00214	0.0262
Bifidobacterium_angulatum|t__SGB17231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48111	0.0	0.98652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_animalis|t__SGB17278	0.0	0.0	0.0	0.71067	0.7735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1821	0.0	0.0	0.00773	0.0
Bifidobacterium_bifidum|t__SGB17256	0.0	0.0	1.23029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30633	1.21188	0.0	0.0	0.87883	0.0	0.0	0.0	0.3128	0.0	0.0	0.0	0.0	0.0	0.93322	2.01551	0.0	0.0	0.0
Bifidobacterium_breve|t__SGB17247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_catenulatum|t__SGB17241	0.0	0.00237	0.10622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00873	0.10343	0.24418	0.0	0.0	0.0	0.0	0.05029	4.93766	0.0089	0.0	0.0
Bifidobacterium_dentium|t__SGB17234	0.0	0.0	0.0	0.01926	0.0152	0.00328	0.02347	0.0	0.0	0.0	0.0	0.0	0.0	0.01883	0.0	0.0	0.0	0.0	0.03751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_longum|t__SGB17248	0.0	0.02891	0.3665	5.44492	5.62584	0.08561	0.0	0.0	4.97059	0.96081	0.17515	2.33933	1.03111	0.0	0.0	0.88241	0.09611	2.39457	0.02966	1.18014	0.9993	0.0	0.0	0.50277	2.24427	1.11271	3.23566	0.58161	4.00028	0.11037
Bifidobacterium_pseudocatenulatum|t__SGB17237	0.0	0.0	0.00743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06967	0.0	0.0	22.71161	0.0	0.0	0.0	0.0	0.18822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_pullorum|t__SGB17264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_scardovii|t__SGB17257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardnerella_vaginalis|t__SGB17307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parascardovia_denticolens|t__SGB17291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scardovia_wiggsiae|t__SGB15494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium_durum|t__SGB17008	0.0	0.0	0.0	0.00046	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Corynebacterium_simulans|t__SGB17120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lawsonella_SGB3665|t__SGB3665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kytococcus_sedentarius|t__SGB17151	0.0	0.0	0.0	0.00307	0.00173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Microbacterium_SGB53518|t__SGB53518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rothia_dentocariosa|t__SGB16988_group	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rothia_mucilaginosa|t__SGB16971	0.00027	0.00056	0.0	0.00667	0.00905	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.02787	0.00155	0.0	0.0	0.0	0.03891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rothia_mucilaginosa|t__SGB16986	0.0	0.0	0.0	0.0	0.00207	0.00957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00356	0.0	0.0	0.0	0.0
Isoptericola_variabilis|t__SGB17153_group	0.00369	0.0	0.00113	0.01501	0.01487	0.0	0.0	0.0	0.00132	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.00173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02361
Propionibacterium_acidifaciens|t__SGB15903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacterium_freudenreichii|t__SGB15904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10772	0.0	0.0	0.0	0.0	0.00486	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.00599
GGB51960_SGB72480|t__SGB72480	0.03281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11496	0.0	0.0	0.0	0.0	0.0
GGB51959_SGB72479|t__SGB72479	0.01045	0.0	0.06082	0.0	0.0	0.0	0.0	0.00319	0.0	0.02107	0.00829	0.0	0.0	0.0	6e-05	0.0	0.0103	0.0	0.00108	0.0	0.01313	0.00033	0.00993	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium_deltae|t__SGB988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB25442_SGB37397|t__SGB37397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lancefieldella_parvula|t__SGB969	0.0	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_profusa|t__SGB14387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_provencensis|t__SGB14367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olsenella_sp_GAM18|t__SGB14370_group	0.0	0.0	0.00327	0.0	0.0	0.10008	0.0	0.0	0.0	0.0	0.02398	0.0	0.0	0.0	0.0	0.03539	0.1623	0.0	0.07621	0.0	0.0	0.09414	0.0	0.0	0.0	0.01049	0.0	0.0	0.0	0.0
Olsenella_sp_oral_taxon_807|t__SGB14348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001
Olsenella_timonensis|t__SGB14360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05713	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0	0.0	0.0	0.06092	0.0	0.0	0.0	0.0	0.0
Parolsenella_catena|t__SGB14379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20845	0.0	0.0	0.08876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_SGB14747|t__SGB14747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_SGB14754|t__SGB14754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12373	0.00431	0.0	0.0	0.0	0.0
Collinsella_aerofaciens|t__SGB14546_group	0.43794	0.19869	3.40171	0.76254	0.79609	0.59875	0.0	0.24251	0.0	0.0	1.44855	1.60277	0.87214	0.0	0.0	0.67096	2.65987	1.74361	1.08603	1.56427	0.87861	0.51047	0.11388	1.7707	0.0	1.47997	1.69535	0.11392	0.0	0.00818
Collinsella_bouchesdurhonensis|t__SGB14397	0.04752	0.01332	0.1596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07897	0.0	0.15642	0.0	0.0	0.08093	0.0	0.0	0.24669	0.0796	0.0	0.13767	0.0	0.0	0.0	0.0	0.89188	0.0	0.0	0.0
Collinsella_intestinalis|t__SGB14741	0.0	0.0	0.0	0.0	0.0	0.0	0.01481	0.0	0.0	0.0	0.0	0.03795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_phocaeensis|t__SGB14745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_sp_An7|t__SGB14759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01259	0.00384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01912	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_stercoris|t__SGB14740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_tanakaei|t__SGB14737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66392	0.0	0.0	0.0	0.02111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collinsella_massiliensis|t__SGB14752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enorma_SGB14753|t__SGB14753	0.02907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02329	0.0	0.0	0.0	0.0	0.0
Enorma_massiliensis|t__SGB14749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01238	0.0	0.0	0.0	0.0
GGB9379_SGB14372|t__SGB14372	0.0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Senegalimassilia_anaerobia|t__SGB14824_group	0.02872	0.00469	0.03073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0752	0.0	0.03148	0.0	0.0	0.0	0.0	0.0	0.08677	0.01154	0.13645	0.02825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Senegalimassilia_faecalis|t__SGB14822	0.0	0.0	0.05123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.02603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coriobacteriales_unclassified_SGB72475|t__SGB72475_group	0.0	0.0	0.0	0.0	0.0	0.02928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01122	0.0	0.0	0.02065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coriobacteriia_bacterium|t__SGB14768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coriobacteriia_bacterium|t__SGB14770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34811
Coriobacteriia_unclassified_SGB14764|t__SGB14764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia_caecicola|t__SGB33555	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia_caecimuris|t__SGB14802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adlercreutzia_equolifaciens|t__SGB14797_group	0.20601	0.0	0.0	0.0	0.0	0.07895	0.0	0.3053	0.0	0.45917	0.01144	0.11903	0.00349	0.0	0.01965	0.09748	0.06095	0.44192	0.0	0.03113	0.04656	0.0	0.12009	0.04163	0.16444	0.22118	0.1958	0.0568	0.0	0.0
Eggerthellaceae_bacterium|t__SGB14325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae_bacterium|t__SGB14326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae_bacterium|t__SGB14328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26487	0.0	0.0	0.0	0.0	0.0	0.0	0.0
